username,ticker,tweets_analysed,avg_pct_change_5m,avg_pct_change_15m,avg_pct_change_30m,median_pct_change_30m,std_pct_change_30m,avg_likes,avg_retweets
RaoulGMI,SI=F,1,-0.3008868485604878,-0.4843596285975206,-0.7632418377065454,-0.7632418377065454,,209.0,21.0
federalreserve,SI=F,7,0.06772539259124265,0.3065009603349937,0.7143860591276449,0.4032254188043424,1.08469933411612,109.0,26.857142857142858
GazpromEN,CL=F,1,-0.0460256746540481,0.3912050668096509,-0.6328420533683631,-0.6328420533683631,,5.0,3.0
MFA_Russia,CL=F,47,0.010908253605499336,-0.07971423953093397,-0.2659809898736766,-0.0967702557963709,0.7430666432357403,266.70212765957444,107.91489361702128
Reuters,CL=F,70,0.06130594614616006,0.14854967377839695,0.20518982580231185,0.18121323239412196,0.6314796703646598,62.214285714285715,19.67142857142857
PeterSchiff,SI=F,63,-0.005600757009500604,0.03011250990697689,0.18102698329102962,0.0,1.244097845260368,956.1746031746031,121.85714285714286
RaoulGMI,CL=F,8,-0.08398338997579868,-0.12341996016305219,-0.179808589625634,0.0,0.3506625300940592,921.25,65.75
POTUS,CL=F,49,0.06010339408432262,0.0025577352644380893,0.1751655610793315,0.0,0.8008681131837057,0.0,6750.775510204082
FT,CL=F,59,0.017363201946995994,0.1535457168711087,0.17380528874839005,0.0,0.7792876902459692,340.03389830508473,121.79661016949153
Chevron,CL=F,6,0.06814969903661393,0.05574560236543713,-0.1730053683205993,-0.06606579018667535,0.2145955113117989,193.0,58.166666666666664
Reuters,HG=F,1,-0.0493991820556921,-0.1234901040295584,-0.1646534720394113,-0.1646534720394113,,88.0,37.0
federalreserve,CL=F,13,0.04747381484101882,0.2727527866929573,0.16206286974520545,-0.0436072321633903,0.5804840341374509,73.38461538461539,18.076923076923077
USTreasury,CL=F,9,0.19781817115656491,0.0816779576847318,-0.16074295140584463,-0.0335342060412217,0.575598178050751,1945.5555555555557,523.3333333333334
OPECSecretariat,CL=F,35,0.006007952135858811,-0.04002818564823254,-0.13474219247366911,0.0610367098753283,0.9666042359595177,20.17142857142857,7.857142857142857
OPECSecretariat,NG=F,15,-0.020634576651694516,-0.13301294747845804,-0.12730848394712246,-0.1122342263995272,0.6058155104913712,21.933333333333334,8.133333333333333
POTUS,NG=F,47,0.022502387757642538,0.01100850896129938,0.12304640605768197,0.0,0.49374520977632097,0.0,6427.702127659574
ReutersBiz,CL=F,49,0.0589102607989622,0.0705771635034453,0.12177606280447614,0.0343431938419124,0.763150236432136,16.693877551020407,4.959183673469388
GoldSeek,SI=F,43,-0.023031255337238325,0.022073342494203313,0.11669720703985581,0.1065819241036442,0.813227962337177,227.06976744186048,24.976744186046513
CNBC,CL=F,63,0.009242531779804629,0.0908609925238862,0.11282823401736701,0.022901285415436,0.8382450995479238,26.841269841269842,6.031746031746032
elerianm,CL=F,83,-0.050991043409636526,-0.01854848856847715,-0.1110729295126499,0.0111384224473732,0.8703408779291062,258.65060240963857,59.6144578313253
LukeGromen,SI=F,21,0.0316225479523499,-0.016167397303471293,0.10334122380282865,-0.0807640329047615,0.8571957787767831,669.2380952380952,169.0
MFA_Russia,GC=F,39,0.011678245911222011,0.03214329233676695,0.09850556579773188,0.0441475227296615,0.21298242755259691,307.64102564102564,119.94871794871794
Reuters,NG=F,41,0.021607387157946193,0.09947947874892803,0.09078118264580318,0.0368161815632919,0.31843636900206784,65.58536585365853,21.5609756097561
EnergyIntel,CL=F,158,0.013924109288823752,0.012394271885648152,-0.07887186231512625,0.0051335128405171,1.0258608074380244,2.588607594936709,2.1835443037974684
elerianm,GC=F,100,0.007894335458370306,0.024667084939450204,0.07018705856874233,0.0273610034037909,0.33127378552126135,235.34,50.18
Chevron,NG=F,5,-0.002240988619144918,-0.02383482091463916,-0.06963500994125538,0.0,0.2663466323006059,238.4,72.0
FT,NG=F,27,0.030178560273015093,0.07135314828423922,0.06724947567334505,0.0,0.3067864063414391,234.11111111111111,76.44444444444444
ReutersBiz,GC=F,39,-0.045956859615683195,-0.05041107947684712,-0.05744865851743255,-0.0124809726100029,0.2237617136811608,18.17948717948718,5.717948717948718
EnergyIntel,NG=F,118,0.024209996413797844,0.011745486210822683,-0.054705096011009535,-0.0672639699095659,0.6024518228898438,2.6271186440677967,2.2966101694915255
PeterSchiff,GC=F,82,-0.010899994580881619,-0.0018776260519845827,0.05198476931427534,0.0,0.6052634240348719,1180.0365853658536,887.780487804878
USTreasury,GC=F,8,-0.0105323905868876,-0.05628273434184974,-0.05129218344507101,-0.0972674005893838,0.13299121525434782,1279.875,359.0
federalreserve,GC=F,48,-0.015493836771799599,-0.008792902295991065,0.04859350928246104,0.0797189689242387,0.36605509290899196,60.5625,15.458333333333334
JavierBlas,CL=F,106,0.04542860670710694,0.03138219542403216,-0.04727267954294155,0.01005159486327835,0.588449023692743,502.14150943396226,238.4811320754717
Reuters,GC=F,48,-0.008790524791551476,-0.019563197721128203,-0.046673839407995306,-0.050191561465621246,0.12295499319923345,64.5,20.729166666666668
ReutersBiz,NG=F,27,-0.005327174940840073,-0.0093981937934295,0.046299692930294185,0.0,0.27086961211173827,9.296296296296296,3.111111111111111
CNBC,NG=F,35,-0.02347217533763483,-0.016971436553442104,-0.04448566329863764,0.0,0.32921601217117086,33.68571428571428,7.3428571428571425
JavierBlas,NG=F,70,0.04066443753704349,0.06416889758600304,0.041577766379872386,0.03840023933189425,0.4360636944422585,493.12857142857143,138.0
MFA_Russia,NG=F,18,0.01616362853694722,0.09592388898400873,-0.03806168357938948,-0.01866232843918145,0.43603151412159075,246.16666666666666,97.61111111111111
USTreasury,SI=F,1,-0.2128081022107384,-0.1784818494570177,-0.0343262527537207,-0.0343262527537207,,258.0,75.0
POTUS,GC=F,52,-0.02474034652389418,-0.007796418287576155,-0.03414396836888138,0.0,0.30413051250714584,0.0,4999.115384615385
TFMetals,SI=F,15,0.030244360516315686,0.0354314567289364,0.03337395389220034,0.1402174820021166,0.593619522250326,92.53333333333333,39.86666666666667
CNBC,GC=F,60,-0.011945151686000107,-0.034917040157822835,-0.027692981499626932,-0.0314774363051106,0.21148996687596275,27.95,6.266666666666667
RaoulGMI,GC=F,13,-0.015054609271327624,-0.037148945934734834,-0.026177497738149043,0.0,0.17608974806287198,833.0,56.15384615384615
WSJmarkets,CL=F,91,-0.030590079569332365,-0.022764617664343303,-0.021541095461608505,0.0,0.46446799393220434,8.296703296703297,1.6373626373626373
TFMetals,GC=F,43,-0.006311210243871376,-0.004772053711653491,-0.02107039451745089,0.0,0.2438361697983834,63.674418604651166,645.4186046511628
JavierBlas,GC=F,36,0.004978958498990541,0.01937715827936595,-0.01991975494492281,0.018553589361528247,0.1673995805097128,505.6111111111111,421.6111111111111
GoldSeek,GC=F,89,0.010457314604371774,0.04652006493210726,0.017401157695098656,0.0,0.4307047335999637,212.1011235955056,36.60674157303371
LukeGromen,GC=F,62,0.030756961046639143,-0.011206638261989347,0.013187340646427554,-0.0021982091993875,0.3549484563203033,847.0,358.30645161290323
GazpromEN,NG=F,11,-0.0397838675878106,-0.10786655103684419,0.011053725236347945,0.0996022874251459,0.7183789629557475,3.727272727272727,1.3636363636363635
KitcoNewsNOW,GC=F,148,-0.012362674216304957,-0.003075981326213085,-0.010957861054509485,0.0,0.2907177594595883,22.25,5.466216216216216
FT,GC=F,50,-0.004389459613613581,0.001744329494773787,-0.00760700556111215,0.0,0.19892905879860145,215.12,80.1
WSJmarkets,GC=F,74,-0.00602413520181047,0.0034805988523188415,-0.003641083043306682,0.0,0.1334369298881193,8.0,1.5945945945945945
KitcoNewsNOW,SI=F,107,-0.04038751746703963,0.02112886948382703,-0.0013144461457261977,0.0,0.6565348931113354,24.214953271028037,5.990654205607477
